index,key,english,thai,status,notes
41,UI/OptQG,Quit Game,ออกจากเกม,draft,
42,UI/OptResetApply,"Current progress will be lost. 
Are you sure?","ความคืบหน้าปัจจุบันจะสูญหาย
แน่ใจหรือไม่?",draft,
43,UI/OptDayN,Day {0},วันที่ {0},draft,
44,UI/,#N/A,,excluded,[excluded] ค่าต้นฉบับ #N/A ไม่ใช่ข้อความสำหรับแปล
45,UI/OptPause,Pause,หยุดชั่วคราว,draft,
46,UI/OptOpt,Settings,ตั้งค่า,draft,
47,UI/OptLang,Language,ภาษา,draft,
48,Dialogue/Conversation/1/Entry/1/Dialogue Text,Show me your pass.,ขอดูบัตรผ่านด้วย,draft,
49,Dialogue/Conversation/1/Entry/2/Dialogue Text,"Yes, of course!",ได้สิ แน่นอน!,draft,
50,Dialogue/Conversation/10/Entry/1/Dialogue Text,"All right, come through.",เรียบร้อย เชิญผ่าน,draft,
51,Dialogue/Conversation/10/Entry/2/Dialogue Text,That's more like it.,ค่อยยังชั่วหน่อย,draft,
52,Dialogue/Conversation/11/Entry/1/Dialogue Text,"Turn around, you may not pass.",กลับไป คุณผ่านไม่ได้,draft,
53,Dialogue/Conversation/11/Entry/2/Dialogue Text,I demand an explanation!!!,ฉันต้องการคำอธิบาย!!!,draft,
54,Dialogue/Conversation/12/Entry/1/Dialogue Text,Is something wrong?,มีอะไรผิดปกติหรือ?,draft,
55,Dialogue/Conversation/12/Entry/2/Dialogue Text,"Shoot 'em, sir!",ยิงเลยครับ!,draft,
56,Dialogue/Conversation/13/Entry/1/Dialogue Text,"So you noticed. Okay, I'll just leave...",สังเกตเห็นจนได้สินะ เอาล่ะ ฉันไปก็ได้...,draft,
57,Dialogue/Conversation/14/Entry/1/Dialogue Text,You shouldn't have done that.,คุณไม่น่าทำแบบนั้นเลย,draft,
58,Dialogue/Conversation/16/Entry/1/Dialogue Text,"You know, I'm feeling a bit off... must be the weather. Or... ooooh.",รู้ไหม ฉันรู้สึกแปลก ๆ... คงเป็นเพราะอากาศ หรือว่า... โอ๊ยยย,draft,
59,Dialogue/Conversation/17/Entry/1/Dialogue Text,Can't let that one through...,ปล่อยคนนั้นผ่านไม่ได้...,draft,
60,Dialogue/Conversation/18/Entry/1/Dialogue Text,I must let this one through no matter what.,ไม่ว่าจะเกิดอะไร ฉันต้องปล่อยคนนี้ผ่าน,draft,
61,Dialogue/Conversation/2/Entry/1/Dialogue Text,I don't like this. Where is the panic button?,ฉันไม่ชอบมาพากลเลย ปุ่มฉุกเฉินอยู่ไหน?,draft,
62,Dialogue/Conversation/21/Entry/1/Dialogue Text,"Well, well, well... I hope I didn't miss anything.",เอาล่ะ ๆ... หวังว่าฉันจะไม่พลาดอะไรไปนะ,draft,
63,Dialogue/Conversation/22/Entry/1/Dialogue Text,"Ugh, I wish I could go stretch my legs for a bit...",เฮ้อ อยากออกไปยืดเส้นยืดสายสักหน่อย...,draft,
64,Dialogue/Conversation/23/Entry/2/Dialogue Text,Reserved for the security-guard line,สงวนไว้สำหรับบทพูดของเจ้าหน้าที่รักษาความปลอดภัย,draft,
65,Dialogue/Conversation/24/Entry/2/Dialogue Text,An interesting monologue with the newspaper,บทพูดคนเดียวที่น่าสนใจกับหนังสือพิมพ์,draft,
66,Dialogue/Conversation/25/Entry/2/Dialogue Text,Today is gonna be hot...,วันนี้คงร้อนน่าดู...,draft,
67,Dialogue/Conversation/3/Entry/1/Dialogue Text,I already gave you my pass!,ฉันให้บัตรผ่านคุณไปแล้วไง!,draft,
68,Dialogue/Conversation/4/Entry/1/Dialogue Text,What the heck do you have there?,นั่นมันอะไรของคุณน่ะ?,draft,
69,Dialogue/Conversation/4/Entry/2/Dialogue Text,"I know, I was born like this.",รู้แล้วน่า ฉันเกิดมาก็เป็นแบบนี้,draft,
70,Dialogue/Conversation/5/Entry/2/Dialogue Text,How did it even end up there?,มันไปอยู่ตรงนั้นได้ยังไงกัน?,draft,
71,Dialogue/Conversation/6/Entry/1/Dialogue Text,Hmm... These are indeed the visitor's fingerprints.,อืม... นี่คือลายนิ้วมือของผู้มาเยือนจริง ๆ,draft,
72,Dialogue/Conversation/7/Entry/3/Dialogue Text,"Right, these fingerprints belong to someone else.",ใช่ ลายนิ้วมือนี้เป็นของคนอื่น,draft,
73,Dialogue/Conversation/8/Entry/1/Dialogue Text,Boo!,แบร่!,draft,
74,Dialogue/Conversation/9/Entry/1/Dialogue Text,Afternoon!,สวัสดีตอนบ่าย!,draft,
75,Dialogue/Conversation/26/Entry/1/Dialogue Text,May I see your pass?,ขอดูบัตรผ่านได้ไหม?,draft,
76,Dialogue/Conversation/26/Entry/2/Dialogue Text,Just a moment!,รอสักครู่!,draft,
77,Dialogue/Conversation/27/Entry/1/Dialogue Text,"Your pass, please.",ขอบัตรผ่านด้วย,draft,
78,Dialogue/Conversation/27/Entry/2/Dialogue Text,"Ah, yeah, here you go.",อ้อ ได้ นี่ไง,draft,
79,Dialogue/Conversation/28/Entry/1/Dialogue Text,Pass?,บัตรผ่านล่ะ?,draft,
80,Dialogue/Conversation/28/Entry/2/Dialogue Text,Here you go.,นี่ครับ,draft,
81,Dialogue/Conversation/29/Entry/1/Dialogue Text,Do you have a pass? Do you want me to search you?,มีบัตรผ่านไหม หรือต้องให้ค้นตัว?,draft,
82,Dialogue/Conversation/29/Entry/2/Dialogue Text,"No need, I'll show it!",ไม่ต้อง เดี๋ยวเอาให้ดู!,draft,
83,Dialogue/Conversation/30/Entry/1/Dialogue Text,Your paper justification?,เอกสารยืนยันของคุณล่ะ?,draft,
84,Dialogue/Conversation/30/Entry/2/Dialogue Text,"Huh? Oh, here!",หา? อ้อ นี่ไง!,draft,
85,Dialogue/Conversation/31/Entry/1/Dialogue Text,You know how things work around here.,คุณรู้ขั้นตอนของที่นี่ดี,draft,
86,Dialogue/Conversation/31/Entry/2/Dialogue Text,"Yes, here's my pass!",รู้สิ นี่บัตรผ่าน!,draft,
87,Dialogue/Conversation/32/Entry/1/Dialogue Text,Do you have a pass on you?,พกบัตรผ่านมาหรือเปล่า?,draft,
88,Dialogue/Conversation/32/Entry/2/Dialogue Text,"Yes, here.",มี นี่ไง,draft,
89,Dialogue/Conversation/33/Entry/1/Dialogue Text,This is getting dangerous…,เริ่มอันตรายแล้วสิ…,draft,
90,Dialogue/Conversation/34/Entry/1/Dialogue Text,"Oh, that's unfortunate...",โอ้ น่าเสียดายจริง ๆ...,draft,
91,Dialogue/Conversation/35/Entry/2/Dialogue Text,This must have always been there.,มันคงอยู่ตรงนั้นมาตลอดแหละ,draft,
92,Dialogue/Conversation/36/Entry/2/Dialogue Text,"Personally, I know nothing about it.",ส่วนตัวแล้ว ฉันไม่รู้อะไรเกี่ยวกับมันเลย,draft,
93,Dialogue/Conversation/37/Entry/2/Dialogue Text,Never seen it before.,ไม่เคยเห็นมาก่อน,draft,
94,Dialogue/Conversation/38/Entry/1/Dialogue Text,Hi! Just don't drag it out.,หวัดดี! อย่าตรวจให้นานนักล่ะ,draft,
95,Dialogue/Conversation/39/Entry/1/Dialogue Text,I'm so fed up with all this...,ฉันเบื่อเรื่องพวกนี้เต็มทีแล้ว...,draft,
96,Dialogue/Conversation/40/Entry/1/Dialogue Text,"Come on, make it quick, I'm in a hurry.",เร็วเข้า รีบตรวจหน่อย ฉันกำลังรีบ,draft,
97,Dialogue/Conversation/41/Entry/1/Dialogue Text,"Show this, take off that... For crying out loud! It's like we're working at a secret facility... Oh, right, we are...",เอานั่นมา ถอดนี่ออก... ให้ตายสิ! อย่างกับเราทำงานในฐานลับ... อ้อ ใช่ เราทำงานอยู่นี่นา...,draft,
98,Dialogue/Conversation/42/Entry/1/Dialogue Text,I can't wait to go home...,อยากกลับบ้านจะแย่แล้ว...,draft,
99,Dialogue/Conversation/43/Entry/1/Dialogue Text,Hello!,สวัสดี!,draft,
100,Dialogue/Conversation/44/Entry/1/Dialogue Text,Still here?,ยังอยู่อีกเหรอ?,draft,
101,Dialogue/Conversation/45/Entry/1/Dialogue Text,Greetings!,สวัสดี!,draft,
102,Dialogue/Conversation/46/Entry/1/Dialogue Text,Greetings!,สวัสดี!,draft,
103,Dialogue/Conversation/47/Entry/1/Dialogue Text,Hi there!,หวัดดี!,draft,
104,Dialogue/Conversation/48/Entry/1/Dialogue Text,Hi there!,หวัดดี!,draft,
105,Dialogue/Conversation/49/Entry/1/Dialogue Text,"Come on, start up your checker.",เอ้า เปิดเครื่องตรวจได้แล้ว,draft,
106,Dialogue/Conversation/50/Entry/1/Dialogue Text,Yo!,ไง!,draft,
107,Dialogue/Conversation/51/Entry/1/Dialogue Text,"Come through, don't dawdle.",ผ่านไป อย่าชักช้า,draft,
108,Dialogue/Conversation/51/Entry/2/Dialogue Text,"But you were the one who... ah, never mind!",แต่คุณเองเป็นคน... ช่างเถอะ!,draft,
109,Dialogue/Conversation/52/Entry/1/Dialogue Text,Good.,ดี,draft,
110,Dialogue/Conversation/52/Entry/2/Dialogue Text,Yep...,อือ...,draft,
111,Dialogue/Conversation/53/Entry/1/Dialogue Text,You can go.,ไปได้,draft,
112,Dialogue/Conversation/53/Entry/2/Dialogue Text,Wonderful.,ยอดเยี่ยม,draft,
113,Dialogue/Conversation/54/Entry/1/Dialogue Text,Everything is in order.,ทุกอย่างเรียบร้อย,draft,
114,Dialogue/Conversation/54/Entry/2/Dialogue Text,Of course! You've just wasted my time.,ก็แน่อยู่แล้ว! คุณแค่ทำฉันเสียเวลา,draft,
115,Dialogue/Conversation/55/Entry/1/Dialogue Text,"Wait, what's that? Just kidding, go ahead...",เดี๋ยว นั่นอะไรน่ะ? ล้อเล่น ไปได้...,draft,
116,Dialogue/Conversation/55/Entry/2/Dialogue Text,Don't scare me like that!,อย่าทำให้ตกใจแบบนั้นสิ!,draft,
117,Dialogue/Conversation/56/Entry/1/Dialogue Text,Everything is in order. Next!,ทุกอย่างเรียบร้อย คนต่อไป!,draft,
118,Dialogue/Conversation/56/Entry/2/Dialogue Text,Phew...,เฮ้อ...,draft,
119,Dialogue/Conversation/57/Entry/1/Dialogue Text,You. Shall. Not. Pass! Go away.,เจ้า จะ ผ่าน ไม่ ได้! ไปให้พ้น,draft,
120,Dialogue/Conversation/57/Entry/2/Dialogue Text,Could you be less dramatic?,ช่วยพูดให้เว่อร์น้อยกว่านี้ได้ไหม?,draft,
121,Dialogue/Conversation/58/Entry/1/Dialogue Text,Not today.,วันนี้ไม่ได้,draft,
122,Dialogue/Conversation/58/Entry/2/Dialogue Text,Why?!,ทำไม?!,draft,
123,Dialogue/Conversation/59/Entry/1/Dialogue Text,I won't let you through.,ฉันจะไม่ปล่อยคุณผ่าน,draft,
124,Dialogue/Conversation/59/Entry/2/Dialogue Text,Oh...,อ้อ...,draft,
125,Dialogue/Conversation/60/Entry/1/Dialogue Text,Bye-bye!,ลาก่อน!,draft,
126,Dialogue/Conversation/60/Entry/2/Dialogue Text,I'm filing a complaint!,ฉันจะร้องเรียน!,draft,
127,Dialogue/Conversation/61/Entry/1/Dialogue Text,Denied.,ปฏิเสธ,draft,
128,Dialogue/Conversation/62/Entry/1/Dialogue Text,Why are you looking at me like that?,ทำไมมองฉันแบบนั้น?,draft,
129,Dialogue/Conversation/62/Entry/2/Dialogue Text,Because it's the last time.,เพราะนี่เป็นครั้งสุดท้าย,draft,
130,Dialogue/Conversation/63/Entry/1/Dialogue Text,What did you press?,คุณกดอะไรน่ะ?,draft,
131,Dialogue/Conversation/63/Entry/2/Dialogue Text,Doesn't matter...,ไม่สำคัญแล้ว...,draft,
132,Dialogue/Conversation/64/Entry/1/Dialogue Text,Don't you dare!,อย่าเชียวนะ!,draft,
133,Dialogue/Conversation/64/Entry/2/Dialogue Text,Too late...,สายไปแล้ว...,draft,
134,Dialogue/Conversation/65/Entry/1/Dialogue Text,Umm... Maybe I should just leave.,เอ่อ... บางทีฉันควรไปดีกว่า,draft,
135,Dialogue/Conversation/65/Entry/2/Dialogue Text,No way.,ไม่มีทาง,draft,
136,Dialogue/Conversation/66/Entry/1/Dialogue Text,Are you sure?,แน่ใจหรือ?,draft,
137,Dialogue/Conversation/66/Entry/2/Dialogue Text,I am. You cannot imagine how much.,แน่ใจ คุณคิดไม่ถึงหรอกว่าแค่ไหน,draft,
138,Dialogue/Conversation/67/Entry/1/Dialogue Text,Why?,ทำไม?,draft,
139,Dialogue/Conversation/67/Entry/2/Dialogue Text,"Nothing personal, just doing my job.",ไม่ได้มีเรื่องส่วนตัว แค่ทำตามหน้าที่,draft,
140,Dialogue/Conversation/68/Entry/1/Dialogue Text,"Oh, don't mind that...",อ้อ ไม่ต้องสนใจเรื่องนั้นหรอก...,draft,
141,Dialogue/Conversation/69/Entry/1/Dialogue Text,Come on...,เอาน่า...,draft,
142,Dialogue/Conversation/70/Entry/1/Dialogue Text,How could such a trifle cause trouble?,เรื่องเล็กแค่นี้จะสร้างปัญหาได้ยังไง?,draft,
143,Dialogue/Conversation/71/Entry/1/Dialogue Text,I have to deny you passage.,ฉันจำเป็นต้องปฏิเสธไม่ให้คุณผ่าน,draft,
144,Dialogue/Conversation/72/Entry/1/Dialogue Text,Access privileges clearly state...,สิทธิ์การเข้าถึงระบุไว้อย่างชัดเจนว่า...,draft,
145,Dialogue/Conversation/73/Entry/1/Dialogue Text,I have no choice but to allow...,ฉันไม่มีทางเลือกนอกจากอนุญาต...,draft,
146,Doc_Loc/MaleName1,Акакий Акакиевич,อาคาเคีย อาคาเคียวิช,draft,
147,Doc_Loc/MaleName2,Кабан Кабаныч,คาบัน คาบานิช,draft,
148,Doc_Loc/MaleName3,Мистер Бигнули,มิสเตอร์บิกนูลี,draft,
149,Doc_Loc/MaleName4,Крош,โครช,draft,
150,Doc_Loc/MaleName5,Бараш,บาราช,draft,
151,Doc_Loc/MaleName6,Копатыч,โคปาติช,draft,
152,Doc_Loc/MaleName7,Каркарыч,คาร์คาริช,draft,
153,Doc_Loc/MaleName8,Пин,พิน,draft,
154,Doc_Loc/MaleName9,Ёжик,โยชิก,draft,
155,Doc_Loc/MaleName10,Абобус Абобусович,อาโบบุส อาโบบูโซวิช,draft,
156,Doc_Loc/MaleName11,Безымянный Брайан,ไบรอันไร้นาม,draft,
157,Doc_Loc/MaleName12,Петрович,เปโตรวิช,draft,
158,Doc_Loc/MaleName13,Чхин Чхан Чхон,ชิน ชาน ชอน,draft,
159,Doc_Loc/MaleName14,Ган Джи,กาน จี,draft,
160,Doc_Loc/MaleName15,Grzegorz Brzeszciętekiewicz,Grzegorz Brzeszciętekiewicz,draft,
161,Doc_Loc/MaleName16,,,untranslated,
162,Doc_Loc/MaleName17,,,untranslated,
163,Doc_Loc/MaleName18,,,untranslated,
164,Doc_Loc/MaleNameMetamorphose,Gregor Samsa,เกรกอร์ ซัมซา,draft,
165,Doc_Loc/FemaleName1,Нюша,นิวชา,draft,
166,Doc_Loc/FemaleName2,Совунья,โซวุนยา,draft,
167,Doc_Loc/FemaleName3,Клара,คลารา,draft,
168,Doc_Loc/FemaleName4,Мара,มารา,draft,
169,Doc_Loc/FemaleName5,Лара,ลารา,draft,
170,Doc_Loc/FemaleName6,Сара,ซารา,draft,
171,Doc_Loc/FemaleName7,Варвара,วาร์วารา,draft,
172,Doc_Loc/FemaleName8,Ильинишна,อิลยินิชนา,draft,
173,Doc_Loc/FemaleName9,Тон Фу,ทง ฟู,draft,
174,Doc_Loc/FemaleName10,Шурупочка,ชูรูโปชกา,draft,
175,Doc_Loc/FemaleName11,Ира Транж,อิรา ทรานช์,draft,
176,Doc_Loc/FemaleName12,Сочная Милфа,มิลฟ์สุดแซ่บ,draft,
177,Doc_Loc/FemaleName13,,,untranslated,
178,Doc_Loc/FemaleName14,,,untranslated,
179,Doc_Loc/FemaleName15,,,untranslated,
180,Doc_Loc/FemaleName16,,,untranslated,
181,Doc_Loc/BossName01,The Coordinator,ผู้ประสานงาน,draft,
182,Doc_Loc/,#N/A,,excluded,[excluded] ค่าต้นฉบับ #N/A ไม่ใช่ข้อความสำหรับแปล
183,Doc_Loc/SerialNumber1,123,123,draft,
184,Doc_Loc/SerialNumber10,124154,124154,draft,
185,Doc_Loc/SerialNumber11,5324235,5324235,draft,
186,Doc_Loc/SerialNumber2,1254,1254,draft,
187,Doc_Loc/SerialNumber3,1525,1525,draft,
188,Doc_Loc/SerialNumber4,3262,3262,draft,
189,Doc_Loc/SerialNumber5,12552,12552,draft,
190,Doc_Loc/SerialNumber6,13,13,draft,
191,Doc_Loc/SerialNumber7,235236,235236,draft,
192,Doc_Loc/SerialNumber8,56431252,56431252,draft,
193,Doc_Loc/SerialNumber9,3453553,3453553,draft,
194,Doc_Loc/SimpleNumber1,1,1,draft,
195,Doc_Loc/SimpleNumber2,2,2,draft,
196,Doc_Loc/SimpleNumber3,3,3,draft,
197,Doc_Loc/SimpleNumber4,4,4,draft,
198,Doc_Loc/SimpleNumber5,5,5,draft,
199,Doc_Loc/SimpleNumber6,6,6,draft,
200,Doc_Loc/SimpleNumber7,7,7,draft,
201,Doc_Loc/SimpleNumber8,8,8,draft,
202,Doc_Loc/SimpleNumber9,9,9,draft,
203,Abstract_Dev/1,Abnormal organ size,ขนาดอวัยวะผิดปกติ,draft,
204,Abstract_Dev/2,Abnormal organ angle,มุมของอวัยวะผิดปกติ,draft,
205,Abstract_Dev/3,Marks on the document,ร่องรอยบนเอกสาร,draft,
206,Abstract_Dev/4,Abnormal organ integrity,ความสมบูรณ์ของอวัยวะผิดปกติ,draft,
207,Abstract_Dev/5,Abnormal number of organs,จำนวนอวัยวะผิดปกติ,draft,
208,Abstract_Dev/6,Foreign body,สิ่งแปลกปลอม,draft,
209,Abstract_Dev/7,Abnormal photo development,การล้างภาพผิดปกติ,draft,
210,Abstract_Dev/8,External mutation,การกลายพันธุ์ภายนอก,draft,
211,Abstract_Dev/9,Organ mutation,การกลายพันธุ์ของอวัยวะ,draft,
212,Abstract_Dev/10,Abnormal bone structure,โครงสร้างกระดูกผิดปกติ,draft,
213,Abstract_Dev/11,Abnormal temperature condition,สภาวะอุณหภูมิผิดปกติ,draft,
214,Abstract_Dev/12,,,untranslated,
215,Abstract_Dev/13,,,untranslated,
216,Abstract_Dev/14,,,untranslated,
217,Abstract_Dev/15,,,untranslated,
218,Abstract_Dev/16,,,untranslated,
219,Abstract_Dev/17,,,untranslated,
220,Abstract_Dev/18,,,untranslated,
221,Abstract_Dev/19,,,untranslated,
222,Abstract_Dev/20,,,untranslated,
223,Abstract_Dev/21,,,untranslated,
224,Abstract_Dev/22,,,untranslated,
225,Abstract_Dev/23,,,untranslated,
226,Abstract_Dev/24,,,untranslated,
227,Abstract_Dev/25,,,untranslated,
228,Abstract_Dev/26,,,untranslated,
229,Abstract_Dev/27,,,untranslated,
230,Abstract_Dev/28,,,untranslated,
231,Abstract_Dev/29,,,untranslated,
232,Abstract_Dev/30,,,untranslated,
233,Abstract_Dev/31,,,untranslated,
234,Abstract_Dev/32,,,untranslated,
235,Abstract_Dev/33,,,untranslated,
236,Abstract_Dev/34,,,untranslated,
237,Abstract_Dev/35,,,untranslated,
238,Abstract_Dev/36,,,untranslated,
239,Abstract_Dev/37,,,untranslated,
240,Abstract_Dev/38,,,untranslated,
241,Abstract_Dev/39,,,untranslated,
242,Abstract_Dev/40,,,untranslated,
243,Abstract_Dev/41,,,untranslated,
244,Abstract_Dev/42,,,untranslated,
245,Abstract_Dev/43,,,untranslated,
246,Abstract_Dev/44,,,untranslated,
247,Abstract_Dev/45,,,untranslated,
248,Abstract_Dev/46,,,untranslated,
249,Abstract_Dev/47,,,untranslated,
250,Abstract_Dev/48,,,untranslated,
251,Abstract_Dev/49,,,untranslated,
252,Abstract_Dev/50,,,untranslated,
253,Abstract_Dev/51,,,untranslated,
254,Abstract_Dev/52,,,untranslated,
255,Abstract_Dev/53,,,untranslated,
256,Abstract_Dev/54,,,untranslated,
257,Abstract_Dev/55,,,untranslated,
258,Abstract_Dev/56,,,untranslated,
259,Abstract_Dev/57,,,untranslated,
260,Abstract_Dev/58,,,untranslated,
261,Abstract_Dev/59,,,untranslated,
262,Abstract_Dev/60,,,untranslated,
263,Abstract_Dev/61,,,untranslated,
264,Abstract_Dev/62,,,untranslated,
265,Abstract_Dev/63,,,untranslated,
266,Abstract_Dev/64,,,untranslated,
267,Abstract_Dev/65,,,untranslated,
268,Abstract_Dev/66,,,untranslated,
269,Abstract_Dev/67,,,untranslated,
270,Abstract_Dev/68,,,untranslated,
271,Abstract_Dev/69,,,untranslated,
272,Abstract_Dev/70,,,untranslated,
273,Abstract_Dev/71,,,untranslated,
274,Abstract_Dev/72,,,untranslated,
275,Abstract_Dev/73,,,untranslated,
276,Abstract_Dev/74,,,untranslated,
277,Abstract_Dev/75,,,untranslated,
278,Abstract_Dev/76,,,untranslated,
279,Abstract_Dev/77,,,untranslated,
280,Abstract_Dev/78,,,untranslated,
281,Abstract_Dev/79,,,untranslated,
282,Abstract_Dev/80,,,untranslated,
283,Abstract_Dev/81,,,untranslated,
284,Abstract_Dev/82,,,untranslated,
285,Abstract_Dev/83,,,untranslated,
286,Abstract_Dev/84,,,untranslated,
287,Abstract_Dev/85,,,untranslated,
288,Abstract_Dev/86,,,untranslated,
289,Abstract_Dev/87,,,untranslated,
290,Abstract_Dev/88,,,untranslated,
291,Abstract_Dev/89,,,untranslated,
292,Abstract_Dev/90,,,untranslated,
293,Real_Dev/1,Enlarged kidney,ไตขยายใหญ่,draft,
294,Real_Dev/2,Reduced kidney,ไตหดเล็ก,draft,
295,Real_Dev/3,Tilted kidney,ไตเอียง,draft,
296,Real_Dev/4,Missing hemisphere,สมองซีกหนึ่งหายไป,draft,
297,Real_Dev/5,Enlarged hemisphere,สมองซีกหนึ่งขยายใหญ่,draft,
298,Real_Dev/6,Reduced hemisphere,สมองซีกหนึ่งหดเล็ก,draft,
299,Real_Dev/7,Upside-down brain,สมองกลับหัว,draft,
300,Real_Dev/8,Missing kidney,ไตหายไป,draft,
301,Real_Dev/9,Sharp fangs,เขี้ยวแหลมคม,draft,
302,Real_Dev/10,Hypothermic head,ศีรษะเย็นผิดปกติ,draft,
303,Real_Dev/11,Hypothermic chest,ทรวงอกเย็นผิดปกติ,draft,
304,Real_Dev/12,Hypothermic heart,หัวใจเย็นผิดปกติ,draft,
305,Real_Dev/13,Hypothermic stomach,กระเพาะเย็นผิดปกติ,draft,
306,Real_Dev/14,Hyperthermic head,ศีรษะร้อนผิดปกติ,draft,
307,Real_Dev/15,Hyperthermic chest,ทรวงอกร้อนผิดปกติ,draft,
308,Real_Dev/16,Hyperthermic lungs,ปอดร้อนผิดปกติ,draft,
309,Real_Dev/17,Hyperthermic stomach,กระเพาะร้อนผิดปกติ,draft,
310,Real_Dev/18,Fused teeth,ฟันเชื่อมติดกัน,draft,
311,Real_Dev/19,Heart pigmentation,หัวใจมีเม็ดสีผิดปกติ,draft,
312,Real_Dev/20,Self-feeding stomach,กระเพาะเลี้ยงตัวเอง,draft,
313,Real_Dev/21,Coral kidney,ไตปะการัง,draft,
314,Real_Dev/22,Missing lung,ปอดหายไป,draft,
315,Real_Dev/23,Skin rash,ผื่นผิวหนัง,draft,
316,Real_Dev/24,Fungal skin growth,เชื้อรางอกบนผิวหนัง,draft,
317,Real_Dev/25,Tentacle-like limb deformity,แขนขาผิดรูปคล้ายหนวด,draft,
318,Real_Dev/26,Esophageal cutaneous mutation,ผิวหลอดอาหารกลายพันธุ์,draft,
319,Real_Dev/27,Symbiotic intelligent growth,เนื้องอกพึ่งพาอาศัยที่มีสติปัญญา,draft,
320,Real_Dev/28,Crystal bone,กระดูกผลึก,draft,
321,Real_Dev/29,Metallic bone,กระดูกโลหะ,draft,
322,Real_Dev/30,Hidden socket,เบ้าซ่อนเร้น,draft,
323,Real_Dev/31,Sharp bone,กระดูกแหลมคม,draft,
324,Real_Dev/32,Thick bone,กระดูกหนา,draft,
325,Real_Dev/33,Thin bone,กระดูกบาง,draft,
326,Real_Dev/34,Crystal growth,ผลึกงอก,draft,
327,Real_Dev/35,Tainted bone,กระดูกปนเปื้อน,draft,
328,Real_Dev/36,Missing ribs,ซี่โครงหายไป,draft,
329,Real_Dev/37,Dense bone,กระดูกหนาแน่น,draft,
330,Real_Dev/38,Spiral bone deformity,กระดูกผิดรูปเป็นเกลียว,draft,
331,Real_Dev/39,Brain electrification,สมองมีประจุไฟฟ้า,draft,
332,Real_Dev/40,Brain petrification,สมองกลายเป็นหิน,draft,
